# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000080.0 00020  256 000000320 000312.5 000834 008.3 020.8  128 000000640 000156.2 000828 008.3 020.7  064 000001280 000078.1 000817 008.2 020.4  032 000002560 000039.1 000600 006.0 015.0  016 000005120 000019.5 000434 004.3 010.8  008 000010240 000009.8 000349 003.5 008.7
000096.0 00024  256 000000384 000260.4 000834 008.3 020.8  128 000000768 000130.2 000831 008.3 020.8  064 000001536 000065.1 000812 008.1 020.3  032 000003072 000032.6 000605 006.0 015.1  016 000006144 000016.3 000434 004.3 010.8  008 000012288 000008.1 000347 003.5 008.7
000128.0 00032  256 000000512 000195.3 000828 008.3 020.7  128 000001024 000097.7 000834 008.3 020.8  064 000002048 000048.8 000813 008.1 020.3  032 000004096 000024.4 000596 006.0 014.9  016 000008192 000012.2 000434 004.3 010.8  008 000016384 000006.1 000347 003.5 008.7
000160.0 00040  256 000000640 000156.2 000831 008.3 020.8  128 000001280 000078.1 000834 008.3 020.8  064 000002560 000039.1 000812 008.1 020.3  032 000005120 000019.5 000592 005.9 014.8  016 000010240 000009.8 000431 004.3 010.8  008 000020480 000004.9 000348 003.5 008.7
000192.0 00048  256 000000768 000130.2 000835 008.3 020.9  128 000001536 000065.1 000829 008.3 020.7  064 000003072 000032.6 000815 008.2 020.4  032 000006144 000016.3 000594 005.9 014.8  016 000012288 000008.1 000434 004.3 010.8  008 000024576 000004.1 000347 003.5 008.7
000256.0 00064  256 000001024 000097.7 000832 008.3 020.8  128 000002048 000048.8 000831 008.3 020.8  064 000004096 000024.4 000810 008.1 020.2  032 000008192 000012.2 000603 006.0 015.1  016 000016384 000006.1 000432 004.3 010.8  008 000032768 000003.1 000347 003.5 008.7
000320.0 00080  256 000001280 000078.1 000832 008.3 020.8  128 000002560 000039.1 000835 008.3 020.9  064 000005120 000019.5 000811 008.1 020.3  032 000010240 000009.8 000598 006.0 014.9  016 000020480 000004.9 000435 004.3 010.9  008 000040960 000002.4 000347 003.5 008.7
000384.0 00096  256 000001536 000065.1 000834 008.3 020.8  128 000003072 000032.6 000835 008.3 020.9  064 000006144 000016.3 000812 008.1 020.3  032 000012288 000008.1 000595 006.0 014.9  016 000024576 000004.1 000433 004.3 010.8  008 000049152 000002.0 000348 003.5 008.7
000512.0 00128  256 000002048 000048.8 000830 008.3 020.7  128 000004096 000024.4 000833 008.3 020.8  064 000008192 000012.2 000814 008.1 020.3  032 000016384 000006.1 000595 006.0 014.9  016 000032768 000003.1 000432 004.3 010.8  008 000065536 000001.5 000347 003.5 008.7
000640.0 00160  256 000002560 000039.1 000828 008.3 020.7  128 000005120 000019.5 000831 008.3 020.8  064 000010240 000009.8 000813 008.1 020.3  032 000020480 000004.9 000594 005.9 014.8  016 000040960 000002.4 000432 004.3 010.8  008 000081920 000001.2 000348 003.5 008.7
000768.0 00192  256 000003072 000032.6 000830 008.3 020.7  128 000006144 000016.3 000833 008.3 020.8  064 000012288 000008.1 000815 008.2 020.4  032 000024576 000004.1 000602 006.0 015.0  016 000049152 000002.0 000432 004.3 010.8  008 000098304 000001.0 000347 003.5 008.7
001024.0 00256  256 000004096 000024.4 000834 008.3 020.8  128 000008192 000012.2 000833 008.3 020.8  064 000016384 000006.1 000817 008.2 020.4  032 000032768 000003.1 000602 006.0 015.0  016 000065536 000001.5 000435 004.3 010.9  008 000131072 000000.8 000348 003.5 008.7
001280.0 00320  256 000005120 000019.5 001007 010.1 025.2  128 000010240 000009.8 001000 010.0 025.0  064 000020480 000004.9 000838 008.4 020.9  032 000040960 000002.4 000605 006.0 015.1  016 000081920 000001.2 000434 004.3 010.8  008 000163840 000000.6 000348 003.5 008.7
001536.0 00384  256 000006144 000016.3 001094 010.9 027.3  128 000012288 000008.1 001086 010.9 027.1  064 000024576 000004.1 000848 008.5 021.2  032 000049152 000002.0 000604 006.0 015.1  016 000098304 000001.0 000446 004.5 011.1  008 000196608 000000.5 000353 003.5 008.8
002048.0 00512  256 000008192 000012.2 002159 021.6 054.0  128 000016384 000006.1 002125 021.2 053.1  064 000032768 000003.1 000961 009.6 024.0  032 000065536 000001.5 000638 006.4 015.9  016 000131072 000000.8 000479 004.8 012.0  008 000262144 000000.4 000361 003.6 009.0
002560.0 00640  256 000010240 000009.8 003346 033.5 083.6  128 000020480 000004.9 003360 033.6 084.0  064 000040960 000002.4 001067 010.7 026.7  032 000081920 000001.2 000667 006.7 016.7  016 000163840 000000.6 000511 005.1 012.8  008 000327680 000000.3 000371 003.7 009.3
003072.0 00768  256 000012288 000008.1 004337 043.4 108.4  128 000024576 000004.1 004337 043.4 108.4  064 000049152 000002.0 001209 012.1 030.2  032 000098304 000001.0 000691 006.9 017.3  016 000196608 000000.5 000540 005.4 013.5  008 000393216 000000.3 000372 003.7 009.3
004096.0 01024  256 000016384 000006.1 006231 062.3 155.7  128 000032768 000003.1 006146 061.5 153.6  064 000065536 000001.5 001347 013.5 033.7  032 000131072 000000.8 000730 007.3 018.2  016 000262144 000000.4 000592 005.9 014.8  008 000524288 000000.2 000389 003.9 009.7
005120.0 01280  256 000020480 000004.9 007122 071.2 178.0  128 000040960 000002.4 007094 070.9 177.3  064 000081920 000001.2 001432 014.3 035.8  032 000163840 000000.6 000748 007.5 018.7  016 000327680 000000.3 000614 006.1 015.3  008 000655360 000000.2 000391 003.9 009.8
006144.0 01536  256 000024576 000004.1 007679 076.8 191.9  128 000049152 000002.0 007505 075.0 187.5  064 000098304 000001.0 001456 014.6 036.4  032 000196608 000000.5 000766 007.7 019.1  016 000393216 000000.3 000626 006.3 015.6  008 000786432 000000.1 000396 004.0 009.9
008192.0 02048  256 000032768 000003.1 007975 079.8 199.3  128 000065536 000001.5 007802 078.0 195.0  064 000131072 000000.8 001480 014.8 037.0  032 000262144 000000.4 000774 007.7 019.3  016 000524288 000000.2 000629 006.3 015.7  008 001048576 000000.1 000396 004.0 009.9
010240.0 02560  256 000040960 000002.4 007899 079.0 197.4  128 000081920 000001.2 007829 078.3 195.6  064 000163840 000000.6 001479 014.8 037.0  032 000327680 000000.3 000766 007.7 019.1  016 000655360 000000.2 000630 006.3 015.7  008 001310720 000000.1 000397 004.0 009.9
